year,grade,external_post_id,source_content_key,source_resource_key,resource_type,source_label,source_url,old_present,current_present,cause,verdict,link_kind,live_payload_verified
2026,2,1709,main,box:z9y1jym727al1lmupoydgcej5e7sc4y6,listening_audio,2026년 6월 고2_ 영어 듣기파일.mp3 (실시간/다운로드),https://app.box.com/s/z9y1jym727al1lmupoydgcej5e7sc4y6,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,3,1708,main,box:2hzhq0j3q7m5ijrwa7d0nx78fyel19bv,listening_audio,2026년 7월 고3_영어 듣기파일.mp3 (실시간 / 다운로드),https://app.box.com/s/2hzhq0j3q7m5ijrwa7d0nx78fyel19bv,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,1,1707,main,box:biu9pazucpvbz5fakbfs4ps3bzk6d474,listening_audio,2026년 6월 고1_영어 듣기파일.mp3 (실시간/다운로드),https://app.box.com/s/biu9pazucpvbz5fakbfs4ps3bzk6d474,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,3,1706,main,box:l3getqgj090nop4zyu8ecm2k2l757l9z,listening_audio,2027학년도 6월 모의평가_영어 듣기파일.mp3 (실시간/다운로드),https://app.box.com/s/l3getqgj090nop4zyu8ecm2k2l757l9z,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,3,1705,main,box:bo9z2i1qjqu4qn4ttddsrbh58ygslh1s,listening_audio,2026년 5월 고3_영어 듣기파일.mp3(실시간/다운로드),https://app.box.com/s/bo9z2i1qjqu4qn4ttddsrbh58ygslh1s,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,1,1704,main,box:gsy7bdr3lvglpsu5h4x5zhsyve96ny8o,listening_audio,2026년 3월 고1 모의고사_영어듣기 파일.mp3 (실시간/다운),https://app.box.com/s/gsy7bdr3lvglpsu5h4x5zhsyve96ny8o,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,2,1703,main,box:ehtsl4g9vw64sqbe014hieyiqrk98xqc,listening_audio,2026년 3월 고2 모의고사_영어듣기 파일.mp3 (실시간/다운),https://app.box.com/s/ehtsl4g9vw64sqbe014hieyiqrk98xqc,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2026,3,1702,main,box:37rv3ap41l8cme43jnp0pbhpf15ji8hx,listening_audio,2026년 3월 학력평가_영어 듣기파일.mp3 (실시간/다운),https://app.box.com/s/37rv3ap41l8cme43jnp0pbhpf15ji8hx,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1700,main,box:h8jsdz500dxlrt08c4k2ebwabjv6m4zf,listening_audio,2026학년도 수능_영어 듣기파일.mp3 (실시간 / 다운로드),https://app.box.com/s/h8jsdz500dxlrt08c4k2ebwabjv6m4zf,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,1,1695,main,box:l95jhr75v8pp6df5kid4a8tdm6x12f0t,listening_audio,2025년 10월 고1_영어 듣기파일.mp3 (실시간/다운로드),https://app.box.com/s/l95jhr75v8pp6df5kid4a8tdm6x12f0t,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,2,1694,main,box:xirhwjxx5awwz6rul03rt6kjb8mx8x6w,listening_audio,2025년 10월 고3_영어 듣기파일.mp3(실시간 듣기/다운),https://app.box.com/s/xirhwjxx5awwz6rul03rt6kjb8mx8x6w,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1693,main,box:bug0ll3fiy67wegif18z14yvyted0ki9,listening_audio,2025년 10월 고3_영어 듣기파일.mp3(실시간 듣기/다운),https://app.box.com/s/bug0ll3fiy67wegif18z14yvyted0ki9,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1686,main,box:5mv3m0zchjfnifmxwv7fwuaftxze5me3,listening_audio,2026학년도 9월 모의평가_영어 듣기파일.mp3(실시간/다운로드),https://app.box.com/s/5mv3m0zchjfnifmxwv7fwuaftxze5me3,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,2,1685,main,box:sibzljmjjsfucgapnyuja4vywnfc8yzq,listening_audio,2025년 9월 고2_영어 듣기파일.mp3(실시간/다운로드),https://app.box.com/s/sibzljmjjsfucgapnyuja4vywnfc8yzq,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,1,1684,main,box:qw8glgvg7d2uvyh0i1qlgizlc5oq1399,listening_audio,2025년 9월 고1_영어 듣기파일.mp3(실시간/다운),https://app.box.com/s/qw8glgvg7d2uvyh0i1qlgizlc5oq1399,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1668,main,box:zyjyyk3lhlpiya46i3m3g1wm9o0emkbs,listening_audio,2025년 7월 고3 모의고사 - 영어 듣기파일.mp3(실시간/다운),https://app.box.com/s/zyjyyk3lhlpiya46i3m3g1wm9o0emkbs,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,2,1667,main,box:oms0pwt30cwdnc3irlpwzycktezt850h,listening_audio,2025년 6월 고2 모의고사_영어 듣기파일.mp3 (실시간/다운),https://app.box.com/s/oms0pwt30cwdnc3irlpwzycktezt850h,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,1,1666,main,box:dpf114dte8wi1hs4fg8flk3rhmloda7p,listening_audio,2025년 6월 고1 모의고사_ 영어 듣기파일.mp3(실시간/다운로드),https://app.box.com/s/dpf114dte8wi1hs4fg8flk3rhmloda7p,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1665,main,box:6mw3c17g96xac5c91b5oozjblcmolw6h,listening_audio,2026학년도 6월 모의평가_영어 듣기파일 (실시간/다운),https://app.box.com/s/6mw3c17g96xac5c91b5oozjblcmolw6h,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
2025,3,1664,main,box:g9yu37r578dryl6pfcwovzhxawlspk97,listening_audio,2025년 5월 고3 모의고사_영어 듣기파일 (실시간/다운),https://app.box.com/s/g9yu37r578dryl6pfcwovzhxawlspk97,False,True,bf89548 fixture bx + parse_record support + Box suffix normalization,LEGITIMATE RESOURCE EXPANSION (offline source inventory),landing_page,False
